Name,HOMFLY (vector)
9_39,{0; 2; {-4; -1; -1; 2; -2; 2}; {-3; 0; 3; -3; 1; 1}; {-2; -1; -2; -1}}
9_40,{0; 3; {0; 2; 2; -2; 1}; {2; 3; -2; 1}; {0; 2; -1; 2; -2}; {1; 1; 1}}
9_41,{0; 2; {-3; -1; 1; -3; 3}; {-2; 1; -3; 4; 0; -1}; {-1; 0; 2; 1}}
9_42,{0; 2; {-1; 1; 2; -3; 2}; {-1; 1; 1; -4; 1}; {0; 0; -1}}
9_43,{0; 3; {1; 4; 3; -4; 3; -1}; {1; 3; 4; -7; 4}; {1; 3; 1; -5; 1}; {2; 2; -1}}
9_44,{0; 2; {-1; 2; 1; -2; 3; -1}; {0; 2; -2; 3; -1}; {1; 1; 1}}
9_45,{0; 2; {-4; -1; -1; 2; -2; 2}; {-3; -1; 2; -2; 2}; {-2; -2; -1}}
9_46,{0; 1; {-3; 0; 1; -1; -1; 2}; {-2; -1; -1; -1}}
9_47,{0; 3; {0; 3; 1; 1; -2; 1}; {0; 2; -2; 4; -3}; {0; 2; -1; 4; -1}; {1; 1; 1}}
9_48,{0; 2; {-3; -2; -2; 3}; {-2; 0; 3; -1; 1}; {-1; -1; -1}}
9_49,{0; 2; {3; 4; 4; -3}; {2; 4; 2; 6; -2}; {2; 3; 1; 2}}
10_1,{0; 1; {-1; 4; 1; 0; 0; 0; -1; 1}; {0; 3; -1; -1; -1; -1}}
10_2,{0; 4; {2; 4; 4; -4; 1}; {2; 4; 10; -14; 6}; {2; 4; 6; -16; 5}; {2; 4; 1; -7; 1}; {3; 3; -1}}
10_3,{0; 1; {-2; 3; 1; 0; 0; -1; 0; 1}; {-1; 2; -1; -2; -2; -1}}
10_4,{0; 2; {-2; 2; 1; 0; 0; -2; 2}; {-2; 2; 1; -2; -2; -3; 1}; {-1; 1; -1; -1; -1}}
10_5,{0; 4; {-3; -1; -3; 5; -1}; {-3; -1; -7; 17; -6}; {-3; -1; -5; 17; -5}; {-3; -1; -1; 7; -1}; {-2; -2; 1}}
10_6,{0; 3; {1; 4; 3; -2; -1; 1}; {1; 4; 4; -4; -4; 3}; {1; 4; 1; -4; -4; 1}; {2; 3; -1; -1}}
10_7,{0; 2; {0; 4; 1; 0; 1; -2; 1}; {0; 4; 1; -1; 0; -2; 1}; {1; 3; -1; -1; -1}}
10_8,{0; 3; {0; 3; 3; -3; 0; 1}; {0; 3; 4; -7; -3; 3}; {0; 3; 1; -5; -4; 1}; {1; 2; -1; -1}}
10_9,{0; 4; {0; 2; 3; -4; 2}; {0; 2; 7; -16; 7}; {0; 2; 5; -17; 5}; {0; 2; 1; -7; 1}; {1; 1; -1}}
10_10,{0; 2; {-3; 0; -1; 2; -1; 1}; {-3; 1; -1; 2; 0; 1; -1}; {-2; 0; 1; 1; 1}}
10_11,{0; 2; {-1; 3; 2; -1; -1; 0; 1}; {-1; 3; 1; -2; -4; -1; 1}; {0; 2; -1; -2; -1}}
10_12,{0; 3; {-3; 0; -2; 2; 2; -1}; {-3; 0; -3; 5; 5; -3}; {-3; 0; -1; 4; 4; -1}; {-2; -1; 1; 1}}
10_13,{0; 2; {-2; 3; 1; 0; -1; 1; -1; 1}; {-1; 2; -2; -1; 0; -2}; {0; 1; 1; 1}}
10_14,{0; 3; {1; 3; 1; 1; -1}; {1; 4; 3; -1; -2; 2}; {1; 4; 1; -3; -3; 1}; {2; 3; -1; -1}}
10_15,{0; 3; {-2; 1; -2; 3; 1; -1}; {-2; 1; -3; 5; 4; -3}; {-2; 1; -1; 4; 4; -1}; {-1; 0; 1; 1}}
10_16,{0; 2; {-1; 3; 1; 1; -2; 0; 1}; {-1; 3; 1; -1; -4; -1; 1}; {0; 2; -1; -2; -1}}
10_17,{0; 4; {-1; 1; -2; 5; -2}; {-1; 1; -7; 16; -7}; {-1; 1; -5; 17; -5}; {-1; 1; -1; 7; -1}; {0; 0; 1}}
10_18,{0; 2; {-1; 2; 1; 0; -1; 1}; {-1; 3; 1; -1; -3; 0; 1}; {0; 2; -1; -2; -1}}
10_19,{0; 3; {-1; 1; -1; 3; -1}; {-1; 2; -3; 5; 1; -2}; {-1; 2; -1; 4; 3; -1}; {0; 1; 1; 1}}
10_20,{0; 2; {0; 4; 2; -1; 0; -1; 1}; {0; 4; 1; -2; -1; -2; 1}; {1; 3; -1; -1; -1}}
10_21,{0; 3; {1; 4; 1; 2; -3; 1}; {1; 4; 3; 0; -5; 3}; {1; 4; 1; -3; -4; 1}; {2; 3; -1; -1}}
10_22,{0; 3; {-1; 2; 2; -1; -2; 2}; {-1; 2; 3; -5; -5; 3}; {-1; 2; 1; -4; -4; 1}; {0; 1; -1; -1}}
10_23,{0; 3; {-3; -2; -2; 3}; {-3; 0; -3; 6; 2; -2}; {-3; 0; -1; 4; 3; -1}; {-2; -1; 1; 1}}
10_24,{0; 2; {0; 4; 1; 1; -1; -1; 1}; {0; 4; 1; 0; -3; -1; 1}; {1; 3; -1; -2; -1}}
